4.1.2 Completion rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
4.1.2 Completion rate,PHILIPPINES,Elementary,Both Sexes,62.7,68.2,71.6,70.2,69.1,68.1,71.7,73.1,73.3,72.2,72.1,71.0,72.7,77.7,83.7,84.0,93.1,92.4,97.2,96.6,82.5,99.8,99.6,92.8,...,...
,,,Female,65.5,70.7,76.3,75.6,75.2,73.5,76.7,78.3,77.9,77.5,77.1,75.7,77.2,81.3,86.2,87.4,95.5,94.6,99.1,98.1,84.7,99.8,99.8,95.1,...,...
,,,Male,60.1,65.8,67.2,65.4,63.6,63.3,67.3,68.4,69.1,67.4,67.7,66.8,68.6,74.4,81.5,81.0,90.8,90.4,95.3,95.1,80.5,99.8,99.3,90.7,...,...
,,Secondary (Junior High School),Both Sexes,70.1,70.0,74.8,71.7,72.4,61.7,72.1,75.4,75.2,73.6,75.1,74.4,74.6,76.3,77.8,74.0,80.9,84.3,88.8,85.8,82.1,99.9,93.6,82.5,...,...
,,,Female,72.3,72.9,80.0,77.2,77.8,68.1,77.0,80.5,79.9,78.3,80.3,80.3,79.7,81.0,81.7,78.5,85.6,88.1,93.0,89.7,85.9,99.9,94.9,87.4,...,...
,,,Male,67.7,66.7,69.5,66.0,66.9,55.1,67.2,70.2,70.4,68.8,69.9,68.6,69.6,71.6,73.9,69.7,76.2,80.5,84.7,81.9,78.4,99.9,92.3,77.9,...,...
,,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.0,76.7,69.3,98.7,83.1,73.3,...,...
,,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.8,80.5,74.6,99.0,84.8,79.0,...,...
,,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.2,73.0,64.2,98.3,81.4,68.1,...,...
,..National Capital Region (NCR),Elementary,Both Sexes,63.9,74.3,84.4,83.8,82.1,82.5,88.5,85.4,85.3,79.7,82.9,83.1,80.0,78.7,74.7,82.3,86.0,94.7,99.0,95.0,69.4,99.8,94.1,94.3,...,...
,,,Female,66.6,75.7,87.7,87.3,85.5,85.0,91.3,89.4,87.5,83.1,86.5,85.9,83.8,81.3,77.6,84.9,87.4,96.1,100.0,95.7,71.6,99.8,93.5,95.4,...,...
,,,Male,61.4,73.0,81.3,80.6,79.0,80.2,85.8,81.3,82.9,76.5,79.5,79.8,76.6,76.4,72.1,79.9,84.6,93.4,97.9,94.2,67.3,99.7,94.7,93.4,...,...
,,Secondary (Junior High School),Both Sexes,68.2,68.4,75.5,73.4,77.3,65.9,71.6,78.7,79.6,75.8,75.9,79.1,76.7,76.3,77.3,74.2,80.3,90.6,92.8,87.3,73.6,100.0,97.9,89.3,...,...
,,,Female,72.2,71.9,82.1,78.9,83.3,69.9,74.0,86.0,84.9,80.8,81.5,84.5,82.1,80.4,81.7,77.8,84.5,94.1,96.1,90.3,77.6,100.0,97.3,92.5,...,...
,,,Male,63.9,64.6,68.9,67.7,71.5,61.8,66.6,71.6,74.4,70.9,70.6,73.8,71.5,72.4,73.0,70.8,76.1,87.2,89.5,84.4,69.9,100.0,98.4,86.2,...,...
,,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.6,76.3,56.3,96.2,84.6,82.4,...,...
,,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.9,79.6,61.9,98.2,85.5,85.4,...,...
,,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.4,73.0,50.9,94.0,83.5,79.6,...,...
,..Cordillera Administrative Region (CAR),Elementary,Both Sexes,62.0,59.6,77.6,73.9,69.5,67.5,75.0,71.7,75.8,77.1,71.8,78.9,78.2,82.6,86.4,86.2,93.5,91.6,97.5,95.8,94.6,99.7,99.0,96.9,...,...
,,,Female,65.9,63.9,83.2,79.1,77.4,73.2,81.0,76.8,81.2,84.0,76.0,84.8,82.7,85.5,90.1,89.1,96.1,94.0,98.8,97.2,95.5,99.9,99.6,98.6,...,...
,,,Male,58.3,55.6,72.3,69.2,62.7,62.4,69.7,67.2,71.1,71.1,68.1,73.7,74.3,80.0,83.1,83.7,91.2,89.6,96.2,94.6,93.7,99.2,98.2,95.3,...,...
,,Secondary (Junior High School),Both Sexes,70.3,61.8,59.4,73.6,72.5,63.2,83.7,75.7,82.4,63.4,75.2,80.0,78.4,76.3,76.9,70.0,79.8,81.2,87.0,81.7,87.9,99.4,95.0,84.2,...,...
,,,Female,73.3,64.2,68.1,78.4,80.8,71.4,89.7,82.4,89.2,72.3,81.1,89.7,85.5,82.9,83.4,77.3,86.5,87.1,93.2,87.6,91.2,99.7,97.8,91.0,...,...
,,,Male,67.1,59.1,50.8,68.5,64.3,54.6,77.4,68.8,75.4,54.7,69.2,70.6,71.5,70.0,70.7,63.0,73.0,75.5,81.0,76.0,84.7,99.0,92.4,78.0,...,...
,,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.1,76.3,81.2,96.5,84.4,77.0,...,...
,,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.4,82.9,85.7,97.9,88.5,84.6,...,...
,,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.9,69.9,76.7,94.2,80.4,70.2,...,...
,..Region I,Elementary,Both Sexes,78.7,79.7,86.7,84.5,85.5,85.5,81.6,82.7,84.8,83.1,82.8,82.4,85.2,91.1,94.5,91.5,97.4,95.5,98.1,99.0,97.3,99.9,99.8,94.9,...,...
,,,Female,81.4,82.4,90.6,87.6,89.4,90.1,84.9,86.1,87.3,86.8,86.0,85.8,88.0,93.4,95.6,93.0,98.9,96.3,99.3,99.5,97.9,99.9,100.0,96.0,...,...
,,,Male,76.2,77.3,83.3,81.6,82.0,81.3,78.8,79.7,82.6,79.8,80.0,79.4,82.7,89.1,93.6,90.1,96.0,94.7,97.0,98.4,96.8,100.0,99.4,93.9,...,...
,,Secondary (Junior High School),Both Sexes,73.4,75.4,79.3,75.5,77.8,72.1,84.2,82.3,81.2,80.4,78.8,75.0,80.3,82.5,83.6,76.4,86.6,87.8,90.9,89.1,92.0,100.0,95.0,84.7,...,...
,,,Female,76.9,79.1,83.8,81.8,84.6,78.4,88.4,87.6,85.5,85.3,83.8,80.9,85.7,87.7,87.5,81.0,91.7,91.7,94.6,92.9,94.4,100.0,96.6,90.0,...,...
,,,Male,69.8,71.6,74.8,69.5,71.2,65.9,80.0,77.3,77.0,75.7,74.0,69.5,75.2,77.6,79.9,72.2,81.7,84.1,87.4,85.6,89.7,100.0,93.6,79.9,...,...
,,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.3,80.6,84.5,99.2,89.0,75.8,...,...
,,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.4,84.2,88.1,99.4,90.9,82.4,...,...
,,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.3,77.1,81.0,99.0,87.3,69.7,...,...
,..Region II,Elementary,Both Sexes,70.8,74.1,72.6,78.6,75.5,76.4,78.5,78.1,80.5,78.3,77.5,73.1,82.0,87.9,87.1,89.0,95.0,93.6,97.6,97.5,98.6,99.6,97.6,94.9,...,...
,,,Female,75.0,78.4,77.3,84.8,82.1,82.9,84.8,83.2,84.7,83.9,82.5,77.3,86.3,91.3,90.3,92.9,97.5,95.5,99.1,98.9,99.1,99.9,98.4,96.7,...,...
,,,Male,66.9,70.1,68.4,73.2,69.8,70.7,73.1,73.5,76.7,73.4,73.1,69.4,78.2,84.8,84.2,85.6,92.8,91.9,96.1,96.1,97.9,99.1,96.8,93.3,...,...
,,Secondary (Junior High School),Both Sexes,72.2,69.4,70.0,76.7,73.0,68.8,77.2,79.0,79.8,78.0,79.1,77.8,77.6,82.0,79.4,73.7,81.5,83.8,88.5,87.7,95.8,100.0,92.5,83.2,...,...
,,,Female,73.8,71.9,74.0,81.2,78.2,74.6,81.3,83.0,83.7,82.2,82.6,83.0,82.6,85.7,84.0,78.9,85.9,88.2,92.6,91.5,98.3,100.0,94.0,88.3,...,...
,,,Male,70.5,66.8,65.7,71.9,67.7,62.9,72.9,74.8,75.7,73.7,75.6,72.8,72.7,78.4,74.9,68.7,77.1,79.5,84.4,84.0,93.4,99.9,91.0,78.5,...,...
,,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.3,80.8,90.4,97.8,82.7,74.0,...,...
,,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.1,84.2,94.5,98.9,83.8,78.6,...,...
,,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.5,77.4,86.2,96.3,81.3,69.8,...,...
,..Region III,Elementary,Both Sexes,75.1,74.6,81.1,83.3,78.5,80.2,82.2,80.7,81.4,81.9,80.2,80.3,82.6,90.8,88.9,89.1,98.1,96.0,99.1,98.7,84.6,99.9,100.0,95.2,...,...
,,,Female,78.7,78.4,85.5,88.6,82.8,84.9,86.2,84.7,85.3,86.1,84.9,84.3,86.2,93.4,91.7,91.9,99.5,97.6,100.0,99.6,86.9,99.9,100.0,97.2,...,...
,,,Male,71.8,71.3,77.3,78.5,74.6,76.0,78.6,77.1,77.8,78.2,76.1,76.8,79.4,88.4,86.5,86.7,96.3,94.5,98.0,97.5,82.6,99.9,100.0,93.4,...,...
,,Secondary (Junior High School),Both Sexes,75.2,70.7,72.9,71.3,76.6,70.3,74.6,76.6,76.3,76.1,77.8,75.2,76.0,83.0,79.2,72.4,84.9,86.0,90.4,89.7,84.0,99.9,96.4,84.1,...,...
,,,Female,79.3,74.6,78.8,77.0,82.4,76.9,79.6,81.8,80.6,81.9,83.2,80.9,81.1,87.0,83.4,76.3,89.1,89.9,93.9,92.8,87.9,100.0,97.0,88.3,...,...
,,,Male,71.0,66.7,67.0,65.6,70.8,63.7,69.6,71.4,72.1,70.6,72.5,69.8,71.1,79.1,75.3,68.8,80.8,82.1,87.0,86.7,80.3,99.8,95.9,80.2,...,...
,,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.8,77.1,72.1,98.2,85.3,74.5,...,...
,,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.0,79.9,77.8,98.6,86.4,79.3,...,...
,,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.6,74.4,66.7,97.1,84.2,69.9,...,...
,..Region IV-A,Elementary,Both Sexes,68.2,80.9,77.9,76.5,78.0,77.0,81.8,79.3,81.6,84.8,82.1,85.4,84.8,72.5,92.3,88.5,99.5,98.4,99.8,99.5,78.0,99.8,98.6,97.1,...,...
,,,Female,72.0,83.7,82.1,81.5,83.1,82.3,86.1,84.6,86.1,89.3,87.5,89.1,89.7,76.3,94.2,91.1,99.7,99.6,100.0,99.8,80.6,99.8,98.5,98.7,...,...
,,,Male,64.7,78.2,74.2,72.1,73.4,72.3,78.0,74.5,77.6,80.2,77.4,81.6,80.5,69.3,90.5,86.1,99.3,97.2,98.7,98.8,75.7,99.7,98.7,95.7,...,...
,,Secondary (Junior High School),Both Sexes,74.8,76.8,77.1,77.9,74.9,68.4,80.1,80.6,81.0,77.3,79.8,84.0,82.3,77.9,82.3,81.6,88.9,90.7,93.2,90.1,81.5,99.9,98.7,88.4,...,...
,,,Female,77.8,79.6,83.0,84.2,80.7,75.8,86.2,86.8,86.9,83.4,85.6,89.2,87.3,83.4,85.3,84.9,93.1,93.8,96.4,92.9,85.6,100.0,98.8,91.6,...,...
