"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)"

"Sub-indicator";"Geolocation";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"PHILIPPINES";..;..;..;..;..;..;..;..;..;99.4;99.9;70.2;76.7;79.9;80.9;89.6;90.7;91.1;96.1;93.0;94.5;95.4;96.2;92.7;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..National Capital Region (NCR)";..;..;..;..;..;..;..;..;..;100.0;100.0;80.7;99.3;97.7;98.0;98.0;98.3;103.0;107.6;100.0;100.0;100.0;100.0;98.8;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Cordillera Administrative Region (CAR)";..;..;..;..;..;..;..;..;..;100.0;100.0;70.6;74.6;78.1;83.5;87.5;90.3;92.5;95.6;93.3;94.3;95.8;97.6;94.2;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region I";..;..;..;..;..;..;..;..;..;100.0;100.0;80.9;82.7;83.9;86.4;93.7;93.9;99.2;102.2;98.7;99.0;99.1;99.1;96.3;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region II";..;..;..;..;..;..;..;..;..;100.0;100.0;73.2;74.5;81.1;83.5;92.3;93.1;94.8;97.9;95.5;99.6;99.7;99.8;94.8;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region III";..;..;..;..;..;..;..;..;..;99.9;100.0;82.1;89.7;93.2;92.3;96.9;97.4;107.1;109.1;99.4;99.7;99.8;99.8;99.9;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region IV-A";..;..;..;..;..;..;..;..;..;98.6;99.3;81.6;94.4;93.7;92.0;95.4;96.7;104.9;110.4;99.0;99.2;99.4;99.6;100.0;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..MIMAROPA Region";..;..;..;..;..;..;..;..;..;99.3;100.0;60.0;62.5;67.2;69.4;82.0;84.1;82.9;87.3;90.3;91.0;92.3;93.0;85.4;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region V";..;..;..;..;..;..;..;..;..;99.9;100.0;67.4;68.7;73.9;73.0;88.0;90.0;78.8;82.4;91.5;93.7;94.5;94.9;87.2;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region VI";..;..;..;..;..;..;..;..;..;99.9;100.0;64.4;68.6;73.0;76.6;91.5;94.9;86.1;92.0;90.9;93.0;94.7;96.2;89.5;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region VII";..;..;..;..;..;..;..;..;..;100.0;100.0;69.7;71.7;80.1;85.9;94.6;97.0;95.9;99.1;96.8;97.7;98.0;98.2;94.2;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region VIII";..;..;..;..;..;..;..;..;..;98.8;100.0;66.4;69.2;71.5;75.0;85.6;89.4;84.3;89.2;94.0;96.9;98.3;99.2;94.2;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region IX";..;..;..;..;..;..;..;..;..;99.8;100.0;48.8;50.8;51.5;55.0;71.1;74.1;63.2;68.9;72.4;78.3;83.4;87.7;81.2;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region X";..;..;..;..;..;..;..;..;..;96.4;100.0;66.2;67.3;62.4;67.1;77.4;81.7;89.0;92.4;92.5;94.8;97.9;98.6;91.3;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region XI";..;..;..;..;..;..;..;..;..;100.0;100.0;54.6;54.8;74.8;70.2;86.9;73.1;68.2;83.7;86.0;88.4;89.9;91.6;80.2;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region XII";..;..;..;..;..;..;..;..;..;99.8;100.0;43.3;43.5;46.0;51.9;65.7;70.6;64.1;70.4;81.8;85.9;90.3;93.3;82.8;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Region XIII";..;..;..;..;..;..;..;..;..;99.9;100.0;77.0;81.4;87.9;79.3;92.5;96.1;107.2;115.3;100.0;100.0;100.0;100.0;98.1;...;...
"1.4.1.3 Proportion of population with access to electricity (same as SDG indicator 7.1.1)";"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";..;..;..;..;..;..;..;..;..;97.8;99.3;26.6;27.8;33.2;32.1;38.5;40.9;27.3;34.8;35.8;43.1;41.7;49.9;43.1;...;...
